Сортировка по ФИО
№,дата,ФИО студента,размер стипендии,куда выдается справка
5,24.02.2023,Антонов Антон Антонович,5000,деканат
1,20.02.2023,Иванов Иван Иванович,5000,деканат
4,23.02.2023,Кузнецов Кузнец Кузнецович,3000,студсовет
2,21.02.2023,Петров Петр Петрович,4000,заместитель декана
3,22.02.2023,Сидоров Сидор Сидорович,6000,факультет
Сортировка по размеру стипендии
№,дата,ФИО студента,размер стипендии,куда выдается справка
3,22.02.2023,Сидоров Сидор Сидорович,6000,факультет
1,20.02.2023,Иванов Иван Иванович,5000,деканат
5,24.02.2023,Антонов Антон Антонович,5000,деканат
2,21.02.2023,Петров Петр Петрович,4000,заместитель декана
4,23.02.2023,Кузнецов Кузнец Кузнецович,3000,студсовет
Суденты со стипендией от 3000 до 5000
№,дата,ФИО студента,размер стипендии,куда выдается справка
1,20.02.2023,Иванов Иван Иванович,5000,деканат
2,21.02.2023,Петров Петр Петрович,4000,заместитель декана
4,23.02.2023,Кузнецов Кузнец Кузнецович,3000,студсовет
5,24.02.2023,Антонов Антон Антонович,5000,деканат
